,Mkt-RF,SMB,HML,RF
19731226,2.71,-1.1,-0.87,0.032
19731227,1.96,-0.3,-0.78,0.032
19731228,-0.11,0.02,-0.02,0.032
19731231,0.2,0.52,0.09,0.032
19740102,0.26,1.32,1.13,0.028
19740103,2.32,1.42,1,0.028
19740104,-0.56,1.59,1.54,0.028
19740107,-0.52,1.37,1.05,0.028
19740108,-1.77,0.86,0.93,0.028
19740109,-2.73,0.57,0.52,0.028
19740110,-1.07,0.25,-0.19,0.028
19740111,1.16,-0.32,0.3,0.028
19740114,-0.14,0.09,0.58,0.028
19740115,0.75,-0.36,-0.01,0.028
19740116,1.43,-0.46,-0.28,0.028
19740117,1.67,0.19,-0.86,0.028
19740118,-1.55,1.06,0.03,0.028
19740121,-0.27,-0.26,-0.1,0.028
19740122,0.98,-0.24,-0.24,0.028
19740123,0.49,0.38,-0.13,0.028
19740124,-0.25,0.47,0.19,0.028
19740125,-0.11,0.44,-0.26,0.028
19740128,-0.5,0.42,0.07,0.028
19740129,-0.16,0.02,0.31,0.028
19740130,1.01,-0.07,-0.03,0.028
19740131,-0.45,0.41,0.13,0.028
19740201,-1.23,0.49,0.33,0.031
19740204,-1.96,0.08,0.08,0.031
19740205,-0.4,-0.16,0.54,0.031
19740206,0.29,-0.2,0.15,0.031
19740207,0.12,0.15,0.53,0.031
19740208,-0.95,0.27,0.69,0.031
19740211,-1.76,0.51,0.75,0.031
19740212,0.04,-0.52,0.16,0.031
19740213,-0.04,-0.18,0.18,0.031
19740214,-0.01,0.25,0.11,0.031
19740215,1.3,-0.35,-0.39,0.031
19740219,-0.13,-0.05,0.03,0.031
19740220,1.24,-0.53,-0.31,0.031
19740221,1.24,-0.47,-0.11,0.031
19740222,0.82,-0.17,0.46,0.031
19740225,-0.26,0.29,0.22,0.031
19740226,0.98,-0.18,0.08,0.031
19740227,0.49,0.37,-0.59,0.031
19740228,-0.14,0.22,-0.2,0.031
19740301,-0.61,0.63,0.35,0.026
19740304,0.01,0.22,-0.05,0.026
19740305,1.76,-0.28,-1.01,0.026
19740306,0.56,0.42,-0.63,0.026
19740307,-0.94,0.67,0.3,0.026
19740308,0.75,-0.15,-0.4,0.026
19740311,1.01,-0.3,-0.33,0.026
19740312,0.18,-0.09,-0.08,0.026
19740313,0.55,0.04,-0.41,0.026
19740314,0.04,0.39,-0.16,0.026
19740315,-0.29,0.35,-0.01,0.026
19740318,-1.29,0.57,0.4,0.026
19740319,-0.84,0.03,0.23,0.026
19740320,0.26,-0.17,-0.28,0.026
19740321,-0.23,0,0.12,0.026
19740322,-0.11,-0.06,-0.06,0.026
19740325,0.19,-0.42,-0.33,0.026
19740326,0.21,-0.19,0.29,0.026
